X,Y,x,sqx,xy,te
146.4,0,-430.80000000000007,185588.64000000007,0,12201.642564317046
147,0,-430.20000000000005,185072.04000000004,0,12169.83457621919
147.6,0.1,-429.6,184556.16000000003,-42.96000000000001,12138.070919812062
148.2,0,-429.00000000000006,184041.00000000006,0,12106.351595095666
148.8,0,-428.40000000000003,183526.56000000003,0,12074.676602069996
149.4,0,-427.80000000000007,183012.84000000005,0,12043.045940735057
150,0,-427.20000000000005,182499.84000000003,0,12011.459611090844
150.6,2893.6,-426.6,181987.56000000003,-1234409.76,11979.91761313736
151.2,755.5,-426.00000000000006,181476.00000000006,-321843.00000000006,11948.41994687461
151.8,1276.4,-425.40000000000003,180965.16000000003,-542980.56,11916.966612302582
152.4,3051.3,-424.80000000000007,180455.04000000007,-1296192.2400000002,11885.557609421288
153,1439.3,-424.20000000000005,179945.64000000004,-610551.06,11854.192938230719
153.6,0.1,-423.6,179436.96000000002,-42.36000000000001,11822.872598730879
154.2,0,-423.00000000000006,178929.00000000006,0,11791.59659092177
154.8,2457.9,-422.40000000000003,178421.76000000004,-1038216.9600000001,11760.364914803387
155.4,3151.8,-421.80000000000007,177915.24000000005,-1329429.2400000002,11729.177570375736
156,3151.8,-421.20000000000005,177409.44000000003,-1327538.1600000001,11698.03455763881
156.6,2005.9,-420.6,176904.36000000002,-843681.54,11666.935876592614
157.2,0,-420.00000000000006,176400.00000000006,0,11635.881527237148
157.8,0,-419.40000000000003,175896.36000000002,0,11604.87150957241
158.4,0,-418.80000000000007,175393.44000000006,0,11573.905823598401
159,0,-418.20000000000005,174891.24000000005,0,11542.98446931512
159.6,0,-417.6,174389.76,0,11512.107446722566
160.2,0,-417.00000000000006,173889.00000000006,0,11481.274755820747
160.8,0,-416.40000000000003,173388.96000000002,0,11450.48639660965
161.4,0,-415.80000000000007,172889.64000000004,0,11419.742369089285
162,1253.4,-415.20000000000005,172391.04000000004,-520411.6800000001,11389.042673259648
162.6,3152.4,-414.6,171893.16000000003,-1306985.04,11358.387309120739
163.2,3150.6,-414.00000000000006,171396.00000000006,-1304348.4000000001,11327.776276672561
163.8,1712.9,-413.40000000000003,170899.56000000003,-708112.8600000001,11297.209575915109
164.4,0,-412.80000000000007,170403.84000000005,0,11266.687206848388
165,837.2,-412.20000000000005,169908.84000000003,-345093.8400000001,11236.209169472393
165.6,3152.9,-411.6,169414.56000000003,-1297733.6400000001,11205.775463787128
166.2,1496.3,-411.00000000000006,168921.00000000006,-614979.3,11175.386089792593
166.8,1206.9,-410.40000000000003,168428.16000000003,-495311.76000000007,11145.041047488785
167.4,3151.7,-409.80000000000007,167936.04000000007,-1291566.6600000001,11114.740336875708
168,2264.7,-409.20000000000005,167444.64000000004,-926715.24,11084.483957953356
168.6,1628.8,-408.6,166953.96000000002,-665527.68,11054.271910721734
169.2,2008.6,-408.00000000000006,166464.00000000006,-819508.8,11024.104195180844
169.8,416.3,-407.40000000000003,165974.76000000004,-169600.62000000002,10993.980811330679
170.4,416.3,-406.80000000000007,165486.24000000005,-169350.84000000003,10963.901759171245
171,0,-406.20000000000005,164998.44000000003,0,10933.867038702538
171.6,0,-405.6,164511.36000000002,0,10903.87664992456
172.2,0,-405.00000000000006,164025.00000000006,0,10873.930592837312
172.8,0,-404.40000000000003,163539.36000000002,0,10844.028867440791
173.4,0,-403.80000000000007,163054.44000000006,0,10814.171473735001
174,0,-403.20000000000005,162570.24000000005,0,10784.358411719939
174.6,0,-402.6,162086.76,0,10754.589681395602
175.2,0,-402.00000000000006,161604.00000000006,0,10724.865282761999
175.8,0,-401.40000000000003,161121.96000000002,0,10695.185215819121
176.4,0,-400.80000000000007,160640.64000000004,0,10665.549480566975
177,0,-400.20000000000005,160160.04000000004,0,10635.958077005555
177.6,0,-399.6,159680.16000000003,0,10606.411005134863
178.2,0,-399.00000000000006,159201.00000000006,0,10576.908264954904
178.8,0,-398.40000000000003,158722.56000000003,0,10547.44985646567
179.4,0,-397.80000000000007,158244.84000000005,0,10518.035779667167
180,0,-397.20000000000005,157767.84000000003,0,10488.66603455939
